age,first_name,last_name,title,salary
35,Lionello,Dumberrill,VP Product Management,"€33927,88"
65,Pat,Peel,Dental Hygienist,"€29687,94"
57,Izabel,Rannigan,Paralegal,"€48516,67"
45,Eddy,Shipman,Biostatistician I,"€26091,60"
27,Janenna,Sambeck,Senior Developer,"€52502,67"
54,Olva,Domenichelli,Speech Pathologist,"€34524,06"
64,Faythe,Mattessen,Sales Associate,"€53834,73"
55,Hortensia,Isakovitch,Administrative Assistant IV,"€26815,01"
26,Sibylle,Liversedge,Tax Accountant,"€21646,29"
54,Oberon,Curd,Social Worker,"€41410,53"
44,Orel,D'Ambrogi,Research Assistant III,"€25071,96"
58,Torey,Torrance,Systems Administrator IV,"€29236,90"
31,Janetta,Prendeguest,Community Outreach Specialist,"€42427,87"
60,Florry,Goodridge,VP Sales,"€36297,02"
64,Zelma,Mansfield,Account Executive,"€27068,88"
34,Jacquenette,Storck,Account Representative I,"€10903,45"
50,Rubina,McPhee,Administrative Officer,"€51910,88"
31,Emmy,Klimecki,General Manager,"€39421,36"
50,Jennie,Strickett,Business Systems Development Analyst,"€46007,66"
44,Putnem,Doherty,Health Coach I,"€21739,62"
36,Zitella,How,Marketing Assistant,"€38209,87"
59,Leonidas,Tallent,Database Administrator I,"€34694,20"
37,Shawnee,Pallin,Internal Auditor,"€17308,08"
40,Renee,Littlefield,Recruiter,"€22878,13"
25,Merridie,Pourveer,Accountant IV,"€48215,42"
34,Stanwood,Castell,Graphic Designer,"€13873,12"
60,Zachariah,Quigley,Software Engineer I,"€53992,35"
26,Tamas,Dibble,Senior Developer,"€2477,71"
31,Zebadiah,Hitzschke,Teacher,"€25728,89"
38,Danni,Feldfisher,Analyst Programmer,"€2539,50"
57,Tobey,Chevers,Tax Accountant,"€30582,85"
35,Kaela,Tattershall,Civil Engineer,"€9800,72"
67,Cristy,Chestnut,Dental Hygienist,"€37202,76"
25,Demetria,Petrakov,General Manager,"€32942,80"
42,Lemuel,Metterick,Software Engineer IV,"€40717,07"
46,Vasily,Roll,Physical Therapy Assistant,"€6872,06"
23,Lorna,Wickersham,Engineer II,"€16959,54"
50,Edyth,Pulster,Statistician III,"€29070,26"
37,Dora,Boick,Operator,"€35094,79"
44,Harmon,Stovin,VP Accounting,"€14787,70"
57,Cissy,Corey,Electrical Engineer,"€6260,60"
56,Leonardo,Starbuck,Biostatistician III,"€16863,50"
63,Eirena,Tissell,Programmer I,"€45335,14"
58,Eve,Caldeiro,Legal Assistant,"€9460,87"
49,Korney,Bosomworth,Recruiting Manager,"€48764,36"
56,Jerald,Bragge,Data Coordiator,"€12945,42"
47,Jacquelynn,Canadine,Professor,"€32778,61"
65,Morgan,Trembey,Staff Scientist,"€16612,12"
33,Sissie,Ransfield,VP Accounting,"€22888,77"
42,Ansley,Spiers,Software Engineer I,"€10214,73"
64,Beltran,Dossett,Sales Associate,"€44047,48"
53,Matthiew,Kubatsch,Sales Representative,"€16926,29"
28,Nataniel,Shama,Operator,"€28135,89"
25,Bertie,Paroni,Nurse,"€23389,81"
43,Devina,Penman,Environmental Specialist,"€6615,45"
55,Dewain,Arstingall,Graphic Designer,"€20226,27"
45,Hyacinth,Awmack,Information Systems Manager,"€21712,47"
57,Tades,Pashby,Product Engineer,"€39627,30"
30,Bobbi,Blindermann,Director of Sales,"€43339,88"
33,Wolf,Sommers,Help Desk Operator,"€34664,90"
49,Alyson,Seabrooke,Geological Engineer,"€41886,16"
53,Heddie,Caldecutt,Junior Executive,"€19046,60"
61,Verge,Buterton,Legal Assistant,"€42991,81"
54,Orlan,Gleave,Structural Engineer,"€49012,58"
46,Mickie,Gaudon,Senior Financial Analyst,"€13025,83"
46,Denice,Upfold,Food Chemist,"€12296,97"
62,Darn,Grinsdale,Actuary,"€35531,64"
30,Delores,Venditti,Junior Executive,"€41134,77"
65,Elga,Monan,Research Assistant II,"€12551,86"
61,Gav,Strut,Account Representative IV,"€23520,07"
